forecast_date,target,target_end_date,location,type,quantile,value
2022-01-16,1 day ahead inc hosp,2022-01-21,53,quantile,0.01,135.9
2022-01-16,1 day ahead inc hosp,2022-01-21,17,quantile,0.01,481.1
2022-01-16,1 day ahead inc hosp,2022-01-21,06,quantile,0.01,1326.3
2022-01-16,1 day ahead inc hosp,2022-01-21,04,quantile,0.01,226.7
2022-01-16,1 day ahead inc hosp,2022-01-21,25,quantile,0.01,220.7
2022-01-16,1 day ahead inc hosp,2022-01-21,55,quantile,0.01,289
2022-01-16,1 day ahead inc hosp,2022-01-21,48,quantile,0.01,1030.9
2022-01-16,1 day ahead inc hosp,2022-01-21,31,quantile,0.01,46.7
2022-01-16,1 day ahead inc hosp,2022-01-21,49,quantile,0.01,106.1
2022-01-16,1 day ahead inc hosp,2022-01-21,41,quantile,0.01,57
2022-01-16,1 day ahead inc hosp,2022-01-21,12,quantile,0.01,761.8
2022-01-16,1 day ahead inc hosp,2022-01-21,36,quantile,0.01,580.9
2022-01-16,1 day ahead inc hosp,2022-01-21,44,quantile,0.01,30.9
2022-01-16,1 day ahead inc hosp,2022-01-21,13,quantile,0.01,538.8
2022-01-16,1 day ahead inc hosp,2022-01-21,33,quantile,0.01,35.6
2022-01-16,1 day ahead inc hosp,2022-01-21,37,quantile,0.01,365
2022-01-16,1 day ahead inc hosp,2022-01-21,34,quantile,0.01,322.6
2022-01-16,1 day ahead inc hosp,2022-01-21,08,quantile,0.01,213.4
2022-01-16,1 day ahead inc hosp,2022-01-21,24,quantile,0.01,194.6
2022-01-16,1 day ahead inc hosp,2022-01-21,32,quantile,0.01,85.3
2022-01-16,1 day ahead inc hosp,2022-01-21,47,quantile,0.01,252.9
2022-01-16,1 day ahead inc hosp,2022-01-21,15,quantile,0.01,26.4
2022-01-16,1 day ahead inc hosp,2022-01-21,18,quantile,0.01,238.2
2022-01-16,1 day ahead inc hosp,2022-01-21,21,quantile,0.01,64.2
2022-01-16,1 day ahead inc hosp,2022-01-21,27,quantile,0.01,144.9
2022-01-16,1 day ahead inc hosp,2022-01-21,40,quantile,0.01,151.1
2022-01-16,1 day ahead inc hosp,2022-01-21,42,quantile,0.01,586.1
2022-01-16,1 day ahead inc hosp,2022-01-21,45,quantile,0.01,221.9
2022-01-16,1 day ahead inc hosp,2022-01-21,11,quantile,0.01,36.5
2022-01-16,1 day ahead inc hosp,2022-01-21,20,quantile,0.01,99.8
2022-01-16,1 day ahead inc hosp,2022-01-21,29,quantile,0.01,267.3
2022-01-16,1 day ahead inc hosp,2022-01-21,50,quantile,0.01,11
2022-01-16,1 day ahead inc hosp,2022-01-21,51,quantile,0.01,244.5
2022-01-16,1 day ahead inc hosp,2022-01-21,09,quantile,0.01,131.6
2022-01-16,1 day ahead inc hosp,2022-01-21,19,quantile,0.01,114.6
2022-01-16,1 day ahead inc hosp,2022-01-21,22,quantile,0.01,155.6
2022-01-16,1 day ahead inc hosp,2022-01-21,39,quantile,0.01,658.5
2022-01-16,1 day ahead inc hosp,2022-01-21,26,quantile,0.01,400.2
2022-01-16,1 day ahead inc hosp,2022-01-21,46,quantile,0.01,43.4
2022-01-16,1 day ahead inc hosp,2022-01-21,05,quantile,0.01,125.3
2022-01-16,1 day ahead inc hosp,2022-01-21,10,quantile,0.01,16.5
2022-01-16,1 day ahead inc hosp,2022-01-21,28,quantile,0.01,123
2022-01-16,1 day ahead inc hosp,2022-01-21,35,quantile,0.01,57.4
2022-01-16,1 day ahead inc hosp,2022-01-21,38,quantile,0.01,16.6
2022-01-16,1 day ahead inc hosp,2022-01-21,56,quantile,0.01,9.6
2022-01-16,1 day ahead inc hosp,2022-01-21,02,quantile,0.01,8.3
2022-01-16,1 day ahead inc hosp,2022-01-21,23,quantile,0.01,21.7
2022-01-16,1 day ahead inc hosp,2022-01-21,01,quantile,0.01,287.7
2022-01-16,1 day ahead inc hosp,2022-01-21,16,quantile,0.01,35.1
2022-01-16,1 day ahead inc hosp,2022-01-21,30,quantile,0.01,50.3
2022-01-16,1 day ahead inc hosp,2022-01-21,72,quantile,0.01,22
2022-01-16,1 day ahead inc hosp,2022-01-21,78,quantile,0.01,1.2
2022-01-16,1 day ahead inc hosp,2022-01-21,54,quantile,0.01,64.7
2022-01-16,2 day ahead inc hosp,2022-01-28,53,quantile,0.01,134.8
2022-01-16,2 day ahead inc hosp,2022-01-28,17,quantile,0.01,477.3
2022-01-16,2 day ahead inc hosp,2022-01-28,06,quantile,0.01,1314.2
2022-01-16,2 day ahead inc hosp,2022-01-28,04,quantile,0.01,225.5
2022-01-16,2 day ahead inc hosp,2022-01-28,25,quantile,0.01,219.6
2022-01-16,2 day ahead inc hosp,2022-01-28,55,quantile,0.01,286.6
2022-01-16,2 day ahead inc hosp,2022-01-28,48,quantile,0.01,1028.9
2022-01-16,2 day ahead inc hosp,2022-01-28,31,quantile,0.01,46.6
2022-01-16,2 day ahead inc hosp,2022-01-28,49,quantile,0.01,105.6
2022-01-16,2 day ahead inc hosp,2022-01-28,41,quantile,0.01,57.4
2022-01-16,2 day ahead inc hosp,2022-01-28,12,quantile,0.01,757.8
2022-01-16,2 day ahead inc hosp,2022-01-28,36,quantile,0.01,577.9
2022-01-16,2 day ahead inc hosp,2022-01-28,44,quantile,0.01,30.6
2022-01-16,2 day ahead inc hosp,2022-01-28,13,quantile,0.01,535.9
2022-01-16,2 day ahead inc hosp,2022-01-28,33,quantile,0.01,35.4
2022-01-16,2 day ahead inc hosp,2022-01-28,37,quantile,0.01,364.3
2022-01-16,2 day ahead inc hosp,2022-01-28,34,quantile,0.01,322
2022-01-16,2 day ahead inc hosp,2022-01-28,08,quantile,0.01,213.1
2022-01-16,2 day ahead inc hosp,2022-01-28,24,quantile,0.01,191.6
2022-01-16,2 day ahead inc hosp,2022-01-28,32,quantile,0.01,84.6
2022-01-16,2 day ahead inc hosp,2022-01-28,47,quantile,0.01,252.6
2022-01-16,2 day ahead inc hosp,2022-01-28,15,quantile,0.01,26.1
2022-01-16,2 day ahead inc hosp,2022-01-28,18,quantile,0.01,236.6
2022-01-16,2 day ahead inc hosp,2022-01-28,21,quantile,0.01,65.1
2022-01-16,2 day ahead inc hosp,2022-01-28,27,quantile,0.01,144.6
2022-01-16,2 day ahead inc hosp,2022-01-28,40,quantile,0.01,149.9
2022-01-16,2 day ahead inc hosp,2022-01-28,42,quantile,0.01,582.1
2022-01-16,2 day ahead inc hosp,2022-01-28,45,quantile,0.01,221.2
2022-01-16,2 day ahead inc hosp,2022-01-28,11,quantile,0.01,36
2022-01-16,2 day ahead inc hosp,2022-01-28,20,quantile,0.01,99.5
2022-01-16,2 day ahead inc hosp,2022-01-28,29,quantile,0.01,265.4
2022-01-16,2 day ahead inc hosp,2022-01-28,50,quantile,0.01,10.9
2022-01-16,2 day ahead inc hosp,2022-01-28,51,quantile,0.01,242.3
2022-01-16,2 day ahead inc hosp,2022-01-28,09,quantile,0.01,129.8
2022-01-16,2 day ahead inc hosp,2022-01-28,19,quantile,0.01,114
2022-01-16,2 day ahead inc hosp,2022-01-28,22,quantile,0.01,154.3
2022-01-16,2 day ahead inc hosp,2022-01-28,39,quantile,0.01,651.8
2022-01-16,2 day ahead inc hosp,2022-01-28,26,quantile,0.01,398.9
2022-01-16,2 day ahead inc hosp,2022-01-28,46,quantile,0.01,43.2
2022-01-16,2 day ahead inc hosp,2022-01-28,05,quantile,0.01,125.1
2022-01-16,2 day ahead inc hosp,2022-01-28,10,quantile,0.01,16.6
2022-01-16,2 day ahead inc hosp,2022-01-28,28,quantile,0.01,121.8
2022-01-16,2 day ahead inc hosp,2022-01-28,35,quantile,0.01,57.5
2022-01-16,2 day ahead inc hosp,2022-01-28,38,quantile,0.01,16.7
2022-01-16,2 day ahead inc hosp,2022-01-28,56,quantile,0.01,9.6
2022-01-16,2 day ahead inc hosp,2022-01-28,02,quantile,0.01,8.2
2022-01-16,2 day ahead inc hosp,2022-01-28,23,quantile,0.01,21.6
2022-01-16,2 day ahead inc hosp,2022-01-28,01,quantile,0.01,286
2022-01-16,2 day ahead inc hosp,2022-01-28,16,quantile,0.01,35
2022-01-16,2 day ahead inc hosp,2022-01-28,30,quantile,0.01,49.8
2022-01-16,2 day ahead inc hosp,2022-01-28,72,quantile,0.01,22.1
2022-01-16,2 day ahead inc hosp,2022-01-28,78,quantile,0.01,1.2
2022-01-16,2 day ahead inc hosp,2022-01-28,54,quantile,0.01,64.6
2022-01-16,3 day ahead inc hosp,2022-02-04,53,quantile,0.01,133
2022-01-16,3 day ahead inc hosp,2022-02-04,17,quantile,0.01,471.7
2022-01-16,3 day ahead inc hosp,2022-02-04,06,quantile,0.01,1296
2022-01-16,3 day ahead inc hosp,2022-02-04,04,quantile,0.01,223.6
2022-01-16,3 day ahead inc hosp,2022-02-04,25,quantile,0.01,218
2022-01-16,3 day ahead inc hosp,2022-02-04,55,quantile,0.01,283.1
2022-01-16,3 day ahead inc hosp,2022-02-04,48,quantile,0.01,1025.8
2022-01-16,3 day ahead inc hosp,2022-02-04,31,quantile,0.01,46.4
2022-01-16,3 day ahead inc hosp,2022-02-04,49,quantile,0.01,104.9
2022-01-16,3 day ahead inc hosp,2022-02-04,41,quantile,0.01,57.9
2022-01-16,3 day ahead inc hosp,2022-02-04,12,quantile,0.01,751.7
2022-01-16,3 day ahead inc hosp,2022-02-04,36,quantile,0.01,573.3
2022-01-16,3 day ahead inc hosp,2022-02-04,44,quantile,0.01,30.3
2022-01-16,3 day ahead inc hosp,2022-02-04,13,quantile,0.01,531.6
2022-01-16,3 day ahead inc hosp,2022-02-04,33,quantile,0.01,35.1
2022-01-16,3 day ahead inc hosp,2022-02-04,37,quantile,0.01,363.2
2022-01-16,3 day ahead inc hosp,2022-02-04,34,quantile,0.01,321.1
2022-01-16,3 day ahead inc hosp,2022-02-04,08,quantile,0.01,212.6
2022-01-16,3 day ahead inc hosp,2022-02-04,24,quantile,0.01,187.2
2022-01-16,3 day ahead inc hosp,2022-02-04,32,quantile,0.01,83.4
2022-01-16,3 day ahead inc hosp,2022-02-04,47,quantile,0.01,252.2
2022-01-16,3 day ahead inc hosp,2022-02-04,15,quantile,0.01,25.6
2022-01-16,3 day ahead inc hosp,2022-02-04,18,quantile,0.01,234.1
2022-01-16,3 day ahead inc hosp,2022-02-04,21,quantile,0.01,66.5
2022-01-16,3 day ahead inc hosp,2022-02-04,27,quantile,0.01,144.2
2022-01-16,3 day ahead inc hosp,2022-02-04,40,quantile,0.01,148.2
2022-01-16,3 day ahead inc hosp,2022-02-04,42,quantile,0.01,576
2022-01-16,3 day ahead inc hosp,2022-02-04,45,quantile,0.01,220
2022-01-16,3 day ahead inc hosp,2022-02-04,11,quantile,0.01,35.4
2022-01-16,3 day ahead inc hosp,2022-02-04,20,quantile,0.01,99
2022-01-16,3 day ahead inc hosp,2022-02-04,29,quantile,0.01,262.6
2022-01-16,3 day ahead inc hosp,2022-02-04,50,quantile,0.01,10.8
2022-01-16,3 day ahead inc hosp,2022-02-04,51,quantile,0.01,239
2022-01-16,3 day ahead inc hosp,2022-02-04,09,quantile,0.01,127
2022-01-16,3 day ahead inc hosp,2022-02-04,19,quantile,0.01,113.1
2022-01-16,3 day ahead inc hosp,2022-02-04,22,quantile,0.01,152.2
2022-01-16,3 day ahead inc hosp,2022-02-04,39,quantile,0.01,641.6
