forecast_date,target,target_end_date,location,type,quantile,value
2022-05-22,1 day ahead inc hosp,2022-05-27,53,quantile,0.01,37.4
2022-05-22,1 day ahead inc hosp,2022-05-27,17,quantile,0.01,93.7
2022-05-22,1 day ahead inc hosp,2022-05-27,06,quantile,0.01,203.4
2022-05-22,1 day ahead inc hosp,2022-05-27,04,quantile,0.01,20.2
2022-05-22,1 day ahead inc hosp,2022-05-27,25,quantile,0.01,58.8
2022-05-22,1 day ahead inc hosp,2022-05-27,55,quantile,0.01,37.6
2022-05-22,1 day ahead inc hosp,2022-05-27,48,quantile,0.01,77.8
2022-05-22,1 day ahead inc hosp,2022-05-27,31,quantile,0.01,3.9
2022-05-22,1 day ahead inc hosp,2022-05-27,49,quantile,0.01,12.9
2022-05-22,1 day ahead inc hosp,2022-05-27,41,quantile,0.01,21.2
2022-05-22,1 day ahead inc hosp,2022-05-27,12,quantile,0.01,106.5
2022-05-22,1 day ahead inc hosp,2022-05-27,36,quantile,0.01,167.6
2022-05-22,1 day ahead inc hosp,2022-05-27,44,quantile,0.01,2.6
2022-05-22,1 day ahead inc hosp,2022-05-27,13,quantile,0.01,31.5
2022-05-22,1 day ahead inc hosp,2022-05-27,33,quantile,0.01,12.6
2022-05-22,1 day ahead inc hosp,2022-05-27,37,quantile,0.01,41.9
2022-05-22,1 day ahead inc hosp,2022-05-27,34,quantile,0.01,89.8
2022-05-22,1 day ahead inc hosp,2022-05-27,08,quantile,0.01,33.9
2022-05-22,1 day ahead inc hosp,2022-05-27,24,quantile,0.01,39.7
2022-05-22,1 day ahead inc hosp,2022-05-27,32,quantile,0.01,10.3
2022-05-22,1 day ahead inc hosp,2022-05-27,47,quantile,0.01,11
2022-05-22,1 day ahead inc hosp,2022-05-27,15,quantile,0.01,20.4
2022-05-22,1 day ahead inc hosp,2022-05-27,18,quantile,0.01,25.3
2022-05-22,1 day ahead inc hosp,2022-05-27,21,quantile,0.01,0
2022-05-22,1 day ahead inc hosp,2022-05-27,27,quantile,0.01,32.3
2022-05-22,1 day ahead inc hosp,2022-05-27,40,quantile,0.01,0
2022-05-22,1 day ahead inc hosp,2022-05-27,42,quantile,0.01,93.2
2022-05-22,1 day ahead inc hosp,2022-05-27,45,quantile,0.01,15.1
2022-05-22,1 day ahead inc hosp,2022-05-27,11,quantile,0.01,5.9
2022-05-22,1 day ahead inc hosp,2022-05-27,20,quantile,0.01,6.7
2022-05-22,1 day ahead inc hosp,2022-05-27,29,quantile,0.01,24.6
2022-05-22,1 day ahead inc hosp,2022-05-27,50,quantile,0.01,3.3
2022-05-22,1 day ahead inc hosp,2022-05-27,51,quantile,0.01,45.6
2022-05-22,1 day ahead inc hosp,2022-05-27,09,quantile,0.01,37.2
2022-05-22,1 day ahead inc hosp,2022-05-27,19,quantile,0.01,13.6
2022-05-22,1 day ahead inc hosp,2022-05-27,22,quantile,0.01,14.6
2022-05-22,1 day ahead inc hosp,2022-05-27,39,quantile,0.01,67.7
2022-05-22,1 day ahead inc hosp,2022-05-27,26,quantile,0.01,80.9
2022-05-22,1 day ahead inc hosp,2022-05-27,46,quantile,0.01,0
2022-05-22,1 day ahead inc hosp,2022-05-27,05,quantile,0.01,3.6
