forecast_date,target,target_end_date,location,type,quantile,value
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,53,quantile,0.01,1020.9
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,17,quantile,0.01,1975.9
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,06,quantile,0.01,907.1
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,04,quantile,0.01,265.2
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,25,quantile,0.01,824.8
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,55,quantile,0.01,396.8
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,48,quantile,0.01,1313.5
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,31,quantile,0.01,547.4
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,49,quantile,0.01,513.3
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,41,quantile,0.01,991.2
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,12,quantile,0.01,24.4
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,36,quantile,0.01,1030.4
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,44,quantile,0.01,33
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,13,quantile,0.01,3886.6
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,33,quantile,0.01,5.1
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,37,quantile,0.01,2065.5
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,34,quantile,0.01,995.5
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,08,quantile,0.01,880.8
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,24,quantile,0.01,1173
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,32,quantile,0.01,141.8
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,47,quantile,0.01,2193
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,15,quantile,0.01,60.3
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,18,quantile,0.01,57.3
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,21,quantile,0.01,306.9
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,27,quantile,0.01,169.1
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,40,quantile,0.01,270.8
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,42,quantile,0.01,753.2
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,45,quantile,0.01,575.1
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,11,quantile,0.01,303.2
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,20,quantile,0.01,284.5
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,29,quantile,0.01,5.5
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,50,quantile,0.01,45.6
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,51,quantile,0.01,2477.6
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,09,quantile,0.01,727.6
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,19,quantile,0.01,30.4
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,22,quantile,0.01,2120.3
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,39,quantile,0.01,115.3
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,26,quantile,0.01,268.4
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,46,quantile,0.01,124.2
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,05,quantile,0.01,91
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,10,quantile,0.01,0.9
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,28,quantile,0.01,511
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,35,quantile,0.01,845.8
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,38,quantile,0.01,65
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,56,quantile,0.01,46.2
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,02,quantile,0.01,109.5
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,23,quantile,0.01,195.3
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,01,quantile,0.01,2016.3
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,16,quantile,0.01,10.3
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,30,quantile,0.01,88.4
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,72,quantile,0.01,137.4
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,78,quantile,0.01,10
2021-11-12,1 wk ahead inc flu hosp,2021-11-17,54,quantile,0.01,128.7
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,53,quantile,0.01,576
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,17,quantile,0.01,1606.6
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,06,quantile,0.01,934.6
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,04,quantile,0.01,239.9
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,25,quantile,0.01,538.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,55,quantile,0.01,397.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,48,quantile,0.01,1030.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,31,quantile,0.01,332.1
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,49,quantile,0.01,349
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,41,quantile,0.01,951
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,12,quantile,0.01,27.3
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,36,quantile,0.01,737.5
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,44,quantile,0.01,33.8
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,13,quantile,0.01,3023.6
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,33,quantile,0.01,3.3
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,37,quantile,0.01,697.9
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,34,quantile,0.01,708.1
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,08,quantile,0.01,675.7
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,24,quantile,0.01,1038.3
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,32,quantile,0.01,96.6
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,47,quantile,0.01,1677.7
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,15,quantile,0.01,39.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,18,quantile,0.01,48.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,21,quantile,0.01,331.2
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,27,quantile,0.01,152.5
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,40,quantile,0.01,232.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,42,quantile,0.01,693.2
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,45,quantile,0.01,432.2
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,11,quantile,0.01,188.2
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,20,quantile,0.01,241.1
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,29,quantile,0.01,0
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,50,quantile,0.01,39.1
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,51,quantile,0.01,2186.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,09,quantile,0.01,596.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,19,quantile,0.01,39.6
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,22,quantile,0.01,1598.2
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,39,quantile,0.01,94.4
2021-11-12,2 wk ahead inc flu hosp,2021-11-24,26,quantile,0.01,201.7
