forecast_date,target,target_end_date,location,type,quantile,value
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,53,quantile,0.01,957.5
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,17,quantile,0.01,5658.8
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,06,quantile,0.01,3071.6
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,04,quantile,0.01,647.5
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,25,quantile,0.01,3311.2
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,55,quantile,0.01,1421.2
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,48,quantile,0.01,2920.4
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,31,quantile,0.01,572.8
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,49,quantile,0.01,1226
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,41,quantile,0.01,1177.1
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,12,quantile,0.01,2380.1
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,36,quantile,0.01,4446.9
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,44,quantile,0.01,509.5
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,13,quantile,0.01,5225.3
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,33,quantile,0.01,99.8
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,37,quantile,0.01,5583.7
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,34,quantile,0.01,2743.4
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,08,quantile,0.01,2538.7
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,24,quantile,0.01,3240.2
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,32,quantile,0.01,357.7
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,47,quantile,0.01,2816.6
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,15,quantile,0.01,227.6
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,18,quantile,0.01,345.6
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,21,quantile,0.01,1398.7
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,27,quantile,0.01,553.7
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,40,quantile,0.01,1006.8
2022-01-07,1 wk ahead inc flu hosp,2022-01-12,42,quantile,0.01,3138.8
