forecast_date,target,target_end_date,location,type,quantile,value
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,53,quantile,0.01,976.3
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,17,quantile,0.01,1476.9
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,06,quantile,0.01,1641.3
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,04,quantile,0.01,252.7
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,25,quantile,0.01,599.2
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,55,quantile,0.01,814.2
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,48,quantile,0.01,1336
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,31,quantile,0.01,263.4
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,49,quantile,0.01,312.1
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,41,quantile,0.01,1093.4
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,12,quantile,0.01,0
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,36,quantile,0.01,1408.2
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,44,quantile,0.01,0
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,13,quantile,0.01,723.3
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,33,quantile,0.01,25.6
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,37,quantile,0.01,1487.7
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,34,quantile,0.01,885.2
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,08,quantile,0.01,663.4
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,24,quantile,0.01,1102.5
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,32,quantile,0.01,244
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,47,quantile,0.01,405.6
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,15,quantile,0.01,139.7
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,18,quantile,0.01,185.9
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,21,quantile,0.01,275.1
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,27,quantile,0.01,383.1
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,40,quantile,0.01,410.8
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,42,quantile,0.01,2087.9
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,45,quantile,0.01,671.8
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,11,quantile,0.01,27.4
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,20,quantile,0.01,378.1
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,29,quantile,0.01,172.8
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,50,quantile,0.01,85.3
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,51,quantile,0.01,183.6
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,09,quantile,0.01,368.1
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,19,quantile,0.01,116.2
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,22,quantile,0.01,0
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,39,quantile,0.01,260
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,26,quantile,0.01,437.2
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,46,quantile,0.01,75.4
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,05,quantile,0.01,73.8
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,10,quantile,0.01,17.5
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,28,quantile,0.01,275.4
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,35,quantile,0.01,7.7
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,38,quantile,0.01,89.3
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,56,quantile,0.01,28.2
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,02,quantile,0.01,0
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,23,quantile,0.01,315.8
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,01,quantile,0.01,0
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,16,quantile,0.01,53.1
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,30,quantile,0.01,210.5
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,72,quantile,0.01,241.2
2022-02-10,1 wk ahead inc flu hosp,2022-02-15,78,quantile,0.01,0
