PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2016,40,X,2.22398,X,X,X,X,X,X,169,23,7599
States,Alaska,2016,40,X,0.940228,X,X,X,X,X,X,14,6,1489
States,Arizona,2016,40,X,1.23442,X,X,X,X,X,X,309,49,25032
States,Arkansas,2016,40,X,0.917431,X,X,X,X,X,X,40,13,4360
States,California,2016,40,X,1.25288,X,X,X,X,X,X,668,129,53317
States,Colorado,2016,40,X,0.77574,X,X,X,X,X,X,22,5,2836
States,Connecticut,2016,40,X,1.23552,X,X,X,X,X,X,64,19,5180
States,Delaware,2016,40,X,0.104858,X,X,X,X,X,X,3,12,2861
States,District of Columbia,2016,40,X,5.52486,X,X,X,X,X,X,160,2,2896
States,Florida,2016,40,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2016,40,X,1.62466,X,X,X,X,X,X,903,53,55581
States,Hawaii,2016,40,X,1.93133,X,X,X,X,X,X,27,15,1398
States,Idaho,2016,40,X,0.373552,X,X,X,X,X,X,10,8,2677
States,Illinois,2016,40,X,1.29539,X,X,X,X,X,X,640,79,49406
States,Indiana,2016,40,X,0.999429,X,X,X,X,X,X,70,28,7004
States,Iowa,2016,40,X,0.129116,X,X,X,X,X,X,4,8,3098
States,Kansas,2016,40,X,0.840915,X,X,X,X,X,X,61,31,7254
States,Kentucky,2016,40,X,0.484322,X,X,X,X,X,X,116,29,23951
States,Louisiana,2016,40,X,1.55987,X,X,X,X,X,X,788,73,50517
States,Maine,2016,40,X,0.833484,X,X,X,X,X,X,46,28,5519
States,Maryland,2016,40,X,0.588424,X,X,X,X,X,X,55,41,9347
States,Massachusetts,2016,40,X,0.61873,X,X,X,X,X,X,177,45,28607
States,Michigan,2016,40,X,0.858584,X,X,X,X,X,X,206,72,23993
States,Minnesota,2016,40,X,1.35371,X,X,X,X,X,X,62,21,4580
States,Mississippi,2016,40,X,1.94482,X,X,X,X,X,X,375,48,19282
States,Missouri,2016,40,X,0.809969,X,X,X,X,X,X,65,19,8025
States,Montana,2016,40,X,0,X,X,X,X,X,X,0,7,3190
States,Nebraska,2016,40,X,0.335161,X,X,X,X,X,X,11,14,3282
States,Nevada,2016,40,X,0.428964,X,X,X,X,X,X,75,36,17484
States,New Hampshire,2016,40,X,0.249252,X,X,X,X,X,X,10,20,4012
States,New Jersey,2016,40,X,2.35421,X,X,X,X,X,X,371,20,15759
States,New Mexico,2016,40,X,1.12478,X,X,X,X,X,X,128,28,11380
States,New York,2016,40,X,0.725918,X,X,X,X,X,X,115,66,15842
States,North Carolina,2016,40,X,0.830327,X,X,X,X,X,X,122,38,14693
States,North Dakota,2016,40,X,0.524109,X,X,X,X,X,X,5,5,954
States,Ohio,2016,40,X,0.581257,X,X,X,X,X,X,122,72,20989
States,Oklahoma,2016,40,X,0.738512,X,X,X,X,X,X,27,18,3656
States,Oregon,2016,40,X,0.611951,X,X,X,X,X,X,34,14,5556
States,Pennsylvania,2016,40,X,0.931615,X,X,X,X,X,X,141,57,15135
States,Rhode Island,2016,40,X,0.420008,X,X,X,X,X,X,22,16,5238
States,South Carolina,2016,40,X,1.77453,X,X,X,X,X,X,68,13,3832
States,South Dakota,2016,40,X,0.90833,X,X,X,X,X,X,76,33,8367
States,Tennessee,2016,40,X,1.71033,X,X,X,X,X,X,158,49,9238
States,Texas,2016,40,X,2.08692,X,X,X,X,X,X,654,120,31338
States,Utah,2016,40,X,1.12899,X,X,X,X,X,X,235,38,20815
States,Vermont,2016,40,X,0.777202,X,X,X,X,X,X,15,8,1930
States,Virginia,2016,40,X,1.5353,X,X,X,X,X,X,1352,136,88061
States,Washington,2016,40,X,0.350467,X,X,X,X,X,X,18,46,5136
States,West Virginia,2016,40,X,1.15475,X,X,X,X,X,X,177,47,15328
States,Wisconsin,2016,40,X,1.11524,X,X,X,X,X,X,45,24,4035
States,Wyoming,2016,40,X,0.435256,X,X,X,X,X,X,20,24,4595
States,Puerto Rico,2016,40,X,4.05933,X,X,X,X,X,X,208,9,5124
States,Virgin Islands,2016,40,X,0.576369,X,X,X,X,X,X,2,1,347
States,New York City,2016,40,X,1.52094,X,X,X,X,X,X,1504,78,98886
States,Alabama,2016,41,X,1.6809,X,X,X,X,X,X,124,24,7377
States,Alaska,2016,41,X,1.15681,X,X,X,X,X,X,18,5,1556
States,Arizona,2016,41,X,0.872229,X,X,X,X,X,X,262,50,30038
States,Arkansas,2016,41,X,0.815935,X,X,X,X,X,X,34,13,4167
States,California,2016,41,X,1.39291,X,X,X,X,X,X,760,134,54562
States,Colorado,2016,41,X,1.20449,X,X,X,X,X,X,44,5,3653
States,Connecticut,2016,41,X,1.07,X,X,X,X,X,X,48,18,4486
States,Delaware,2016,41,X,0.0687285,X,X,X,X,X,X,2,12,2910
States,District of Columbia,2016,41,X,4.954,X,X,X,X,X,X,140,2,2826
States,Florida,2016,41,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2016,41,X,2.0006,X,X,X,X,X,X,1065,55,53234
States,Hawaii,2016,41,X,1.50171,X,X,X,X,X,X,22,16,1465
States,Idaho,2016,41,X,0.32538,X,X,X,X,X,X,9,7,2766
States,Illinois,2016,41,X,1.21637,X,X,X,X,X,X,571,77,46943
States,Indiana,2016,41,X,0.960952,X,X,X,X,X,X,63,27,6556
States,Iowa,2016,41,X,0.165472,X,X,X,X,X,X,6,10,3626
States,Kansas,2016,41,X,0.792393,X,X,X,X,X,X,55,32,6941
States,Kentucky,2016,41,X,0.419714,X,X,X,X,X,X,101,29,24064
States,Louisiana,2016,41,X,1.66783,X,X,X,X,X,X,762,75,45688
States,Maine,2016,41,X,0.741152,X,X,X,X,X,X,40,29,5397
States,Maryland,2016,41,X,0.742727,X,X,X,X,X,X,72,42,9694
States,Massachusetts,2016,41,X,0.538175,X,X,X,X,X,X,150,47,27872
States,Michigan,2016,41,X,0.931407,X,X,X,X,X,X,236,75,25338
States,Minnesota,2016,41,X,1.35184,X,X,X,X,X,X,75,21,5548
States,Mississippi,2016,41,X,2.04569,X,X,X,X,X,X,394,50,19260
States,Missouri,2016,41,X,1.05737,X,X,X,X,X,X,87,20,8228
States,Montana,2016,41,X,0.255428,X,X,X,X,X,X,8,8,3132
States,Nebraska,2016,41,X,0.253991,X,X,X,X,X,X,7,13,2756
States,Nevada,2016,41,X,0.450626,X,X,X,X,X,X,81,38,17975
States,New Hampshire,2016,41,X,0.225035,X,X,X,X,X,X,8,18,3555
States,New Jersey,2016,41,X,2.4617,X,X,X,X,X,X,376,21,15274
States,New Mexico,2016,41,X,1.03073,X,X,X,X,X,X,110,26,10672
States,New York,2016,41,X,0.945864,X,X,X,X,X,X,141,64,14907
States,North Carolina,2016,41,X,0.921955,X,X,X,X,X,X,129,41,13992
States,North Dakota,2016,41,X,0.15949,X,X,X,X,X,X,2,7,1254
States,Ohio,2016,41,X,0.600673,X,X,X,X,X,X,125,74,20810
States,Oklahoma,2016,41,X,2.26164,X,X,X,X,X,X,102,19,4510
States,Oregon,2016,41,X,0.41806,X,X,X,X,X,X,25,20,5980
States,Pennsylvania,2016,41,X,0.743974,X,X,X,X,X,X,121,58,16264
States,Rhode Island,2016,41,X,0.401038,X,X,X,X,X,X,17,15,4239
States,South Carolina,2016,41,X,1.3986,X,X,X,X,X,X,54,14,3861
States,South Dakota,2016,41,X,1.04034,X,X,X,X,X,X,90,33,8651
States,Tennessee,2016,41,X,1.54795,X,X,X,X,X,X,133,51,8592
States,Texas,2016,41,X,1.95234,X,X,X,X,X,X,571,117,29247
States,Utah,2016,41,X,0.808335,X,X,X,X,X,X,180,39,22268
States,Vermont,2016,41,X,0.848593,X,X,X,X,X,X,19,9,2239
States,Virginia,2016,41,X,1.64101,X,X,X,X,X,X,1407,136,85740
States,Washington,2016,41,X,0.48216,X,X,X,X,X,X,15,41,3111
States,West Virginia,2016,41,X,1.21442,X,X,X,X,X,X,218,50,17951
States,Wisconsin,2016,41,X,0.949618,X,X,X,X,X,X,36,21,3791
States,Wyoming,2016,41,X,0.645578,X,X,X,X,X,X,30,26,4647
States,Puerto Rico,2016,41,X,4.36732,X,X,X,X,X,X,224,9,5129
States,Virgin Islands,2016,41,X,1.91083,X,X,X,X,X,X,6,2,314
States,New York City,2016,41,X,1.50792,X,X,X,X,X,X,1491,75,98878
States,Alabama,2016,42,X,1.99635,X,X,X,X,X,X,153,24,7664
States,Alaska,2016,42,X,0.501792,X,X,X,X,X,X,7,6,1395
States,Arizona,2016,42,X,0.956952,X,X,X,X,X,X,321,54,33544
States,Arkansas,2016,42,X,0.997783,X,X,X,X,X,X,45,13,4510
States,California,2016,42,X,1.51631,X,X,X,X,X,X,812,131,53551
