PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2016,40,1.2019,1.27386,3110,2114,X,4169,828,643,10864,1946,852842
National,X,2016,41,1.23108,1.29342,3207,2155,X,4078,879,678,10997,1973,850228
National,X,2016,42,1.26796,1.33097,3564,2234,X,4452,981,695,11926,1983,896035
National,X,2016,43,1.36298,1.42662,3786,2406,X,4769,987,700,12648,2006,886570
National,X,2016,44,1.48535,1.57071,4314,2444,X,5287,1030,715,13790,1999,877947
National,X,2016,45,1.55954,1.65146,4703,2549,X,5193,1055,758,14258,1990,863356
National,X,2016,46,1.64783,1.73309,4979,2659,X,5610,1083,829,15160,2000,874739
National,X,2016,47,1.91275,2.03388,5032,2634,X,4567,1108,867,14208,2011,698566
National,X,2016,48,1.81725,1.88331,5209,3326,X,5655,1359,1056,16605,2001,881694
National,X,2016,49,1.91433,2.00292,5501,3188,X,5812,1413,1047,16961,2013,846813
National,X,2016,50,2.21003,2.27731,5744,3491,X,6724,1485,1019,18463,2000,810736
National,X,2016,51,2.73568,2.91465,6653,4099,X,7469,1923,1421,21565,1977,739882
National,X,2016,52,3.36832,3.54919,7712,5247,X,7144,2652,2145,24900,1928,701569
National,X,2017,1,3.09689,3.08102,6716,5673,X,6786,2773,2230,24178,2024,784740
National,X,2017,2,3.07346,3.01875,6020,5313,X,8843,2639,2082,24897,1997,824746
National,X,2017,3,3.51643,3.40446,6399,5588,X,12147,2717,1930,28781,2029,845391
National,X,2017,4,3.8027,3.52869,6958,5788,X,14073,2623,1823,31265,2021,886023
National,X,2017,5,4.50313,4.10665,7452,6522,X,17482,2968,2093,36517,2024,889216
National,X,2017,6,5.06308,4.7551,8110,8235,X,20150,3749,2646,42890,2027,901978
National,X,2017,7,4.86009,4.65163,7726,8328,X,18692,3652,2637,41035,1967,882163
National,X,2017,8,4.57916,4.57049,7649,8560,X,17300,3807,2808,40124,1987,877892
National,X,2017,9,3.55674,3.45522,6129,6496,X,12394,2983,2181,30183,1995,873547
National,X,2017,10,3.50417,3.29505,5854,5970,X,11552,2766,1918,28060,1971,851580
National,X,2017,11,3.21511,3.16426,5503,5535,X,10084,2582,1780,25484,1958,805370
National,X,2017,12,3.10088,3.14433,5514,5858,X,11503,2641,1838,27354,1940,869946
National,X,2017,13,2.79056,2.87936,5145,5070,X,10149,2354,1624,24342,1899,845397
National,X,2017,14,2.38547,2.36977,4488,3918,X,8178,1760,1333,19677,1906,830332
National,X,2017,15,1.9703,1.93853,3909,3151,X,5847,1470,1171,15548,1861,802052
National,X,2017,16,1.73442,1.64064,3306,2766,X,4683,1258,993,13006,1845,792740
National,X,2017,17,1.56303,1.4752,2997,2391,X,4497,1111,928,11924,1846,808298
National,X,2017,18,1.4128,1.37755,2890,2039,X,4105,1011,717,10762,1795,781240
National,X,2017,19,1.27492,1.33771,2751,2037,X,3831,862,721,10202,1767,762648
National,X,2017,20,1.2834,1.34686,2685,2011,X,3518,886,709,9809,1746,728288
National,X,2017,21,1.16663,1.26579,2341,1745,X,3060,771,647,8564,1614,676574
National,X,2017,22,1.10977,1.25701,2311,1577,X,2575,710,583,7756,1569,617021
National,X,2017,23,1.04333,1.16048,2412,1459,X,2377,671,591,7510,1493,647145
National,X,2017,24,0.905151,1.04834,2049,1346,X,2099,595,547,6636,1470,633003
National,X,2017,25,0.902718,0.992711,1930,1282,X,1971,559,498,6240,1469,628582
National,X,2017,26,0.859531,0.961603,1771,1121,X,1748,489,467,5596,1422,581945
National,X,2017,27,0.818998,0.955818,1728,1111,X,1564,505,418,5326,1456,557219
National,X,2017,28,0.752505,0.827597,1545,1004,X,1578,462,372,4961,1405,599446
National,X,2017,29,0.731146,0.811886,1549,908,X,1421,450,419,4747,1384,584688
National,X,2017,30,0.733295,0.818527,1576,953,X,1515,459,376,4879,1377,596071
National,X,2017,31,0.73102,0.829758,1529,1037,X,1485,415,433,4899,1390,590413
National,X,2017,32,0.68834,0.828503,1559,1044,X,1481,441,390,4915,1386,593239
National,X,2017,33,0.732049,0.885896,1603,1097,X,1691,427,412,5230,1350,590363
National,X,2017,34,0.911188,1.05351,1964,1256,X,2549,473,411,6653,1379,631507
National,X,2017,35,1.02105,1.11768,2076,1302,X,2726,526,503,7133,1370,638196
National,X,2017,36,1.09495,1.14028,2073,1369,X,2488,587,555,7072,1384,620201
National,X,2017,37,1.09475,1.13326,2372,1656,X,2942,706,628,8304,1485,732755
National,X,2017,38,1.09775,1.17589,2544,1625,X,3075,664,655,8563,1484,728214
National,X,2017,39,1.18882,1.23848,2840,1652,X,3201,746,640,9079,1468,733077
