forecast_date,target,target_end_date,location,type,quantile,value
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,53,quantile,0.01,296.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,17,quantile,0.01,3400.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,06,quantile,0.01,1777.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,04,quantile,0.01,1258.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,25,quantile,0.01,1524.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,55,quantile,0.01,300.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,48,quantile,0.01,3579.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,31,quantile,0.01,481.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,49,quantile,0.01,461.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,41,quantile,0.01,1935.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,12,quantile,0.01,22.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,36,quantile,0.01,928.3
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,44,quantile,0.01,228.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,13,quantile,0.01,12003.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,33,quantile,0.01,88.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,37,quantile,0.01,1154.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,34,quantile,0.01,2526.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,08,quantile,0.01,962.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,24,quantile,0.01,558.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,32,quantile,0.01,305.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,47,quantile,0.01,1000.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,15,quantile,0.01,107.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,18,quantile,0.01,491.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,21,quantile,0.01,1346.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,27,quantile,0.01,473.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,40,quantile,0.01,973.3
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,42,quantile,0.01,3257.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,45,quantile,0.01,828.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,11,quantile,0.01,613.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,20,quantile,0.01,906.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,29,quantile,0.01,587.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,50,quantile,0.01,53.4
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,51,quantile,0.01,9151.3
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,09,quantile,0.01,218
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,19,quantile,0.01,152.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,22,quantile,0.01,0
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,39,quantile,0.01,858.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,26,quantile,0.01,1151.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,46,quantile,0.01,601.2
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,05,quantile,0.01,362.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,10,quantile,0.01,23.4
