forecast_date,target,target_end_date,location,type,quantile,value
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,53,quantile,0.01,861.2
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,17,quantile,0.01,4432.3
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,06,quantile,0.01,2771
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,04,quantile,0.01,698.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,25,quantile,0.01,3266.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,55,quantile,0.01,802.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,48,quantile,0.01,2977.2
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,31,quantile,0.01,587
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,49,quantile,0.01,1375
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,41,quantile,0.01,1531.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,12,quantile,0.01,2325.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,36,quantile,0.01,3296.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,44,quantile,0.01,284.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,13,quantile,0.01,5292.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,33,quantile,0.01,57.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,37,quantile,0.01,4602.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,34,quantile,0.01,2351
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,08,quantile,0.01,2749
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,24,quantile,0.01,3222.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,32,quantile,0.01,287
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,47,quantile,0.01,3594.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,15,quantile,0.01,156
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,18,quantile,0.01,162.3
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,21,quantile,0.01,887.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,27,quantile,0.01,307.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,40,quantile,0.01,818.4
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,42,quantile,0.01,1884.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,45,quantile,0.01,782.4
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,11,quantile,0.01,439.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,20,quantile,0.01,822.2
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,29,quantile,0.01,157
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,50,quantile,0.01,160.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,51,quantile,0.01,7283.2
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,09,quantile,0.01,3470.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,19,quantile,0.01,138.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,22,quantile,0.01,4326.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,39,quantile,0.01,384.9
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,26,quantile,0.01,688.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,46,quantile,0.01,319.4
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,05,quantile,0.01,323.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,10,quantile,0.01,29.7
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,28,quantile,0.01,1027.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,35,quantile,0.01,2263.4
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,38,quantile,0.01,126.6
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,56,quantile,0.01,264.5
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,02,quantile,0.01,178
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,23,quantile,0.01,609.1
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,01,quantile,0.01,3317.8
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,16,quantile,0.01,30.4
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,30,quantile,0.01,284.2
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,72,quantile,0.01,425.2
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,78,quantile,0.01,18
2021-12-17,1 wk ahead inc flu hosp,2021-12-22,54,quantile,0.01,784.1
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,53,quantile,0.01,585.4
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,17,quantile,0.01,4198.1
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,06,quantile,0.01,2823.7
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,04,quantile,0.01,772.3
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,25,quantile,0.01,3436.2
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,55,quantile,0.01,919.4
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,48,quantile,0.01,2935.3
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,31,quantile,0.01,585.1
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,49,quantile,0.01,1305.7
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,41,quantile,0.01,1462.1
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,12,quantile,0.01,2334.9
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,36,quantile,0.01,2637.1
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,44,quantile,0.01,376.6
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,13,quantile,0.01,6255.3
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,33,quantile,0.01,66.6
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,37,quantile,0.01,5175.2
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,34,quantile,0.01,2475.4
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,08,quantile,0.01,2749
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,24,quantile,0.01,3437.4
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,32,quantile,0.01,257.4
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,47,quantile,0.01,3919.4
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,15,quantile,0.01,144.6
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,18,quantile,0.01,174.5
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,21,quantile,0.01,887
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,27,quantile,0.01,388.7
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,40,quantile,0.01,762.2
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,42,quantile,0.01,1825.2
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,45,quantile,0.01,847
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,11,quantile,0.01,466.6
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,20,quantile,0.01,735.2
2021-12-17,2 wk ahead inc flu hosp,2021-12-29,29,quantile,0.01,276.7
