forecast_date,target,target_end_date,location,type,quantile,value
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,53,quantile,0.01,30.6
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,17,quantile,0.01,151.4
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,06,quantile,0.01,103.1
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,04,quantile,0.01,21.4
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,25,quantile,0.01,70.5
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,55,quantile,0.01,17.5
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,48,quantile,0.01,123.1
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,31,quantile,0.01,35.9
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,49,quantile,0.01,29.6
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,41,quantile,0.01,44.1
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,12,quantile,0.01,0
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,36,quantile,0.01,86.4
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,44,quantile,0.01,0
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,13,quantile,0.01,190.3
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,33,quantile,0.01,0
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,37,quantile,0.01,94.2
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,34,quantile,0.01,64.1
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,08,quantile,0.01,108.5
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,24,quantile,0.01,88.8
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,32,quantile,0.01,16.9
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,47,quantile,0.01,53.4
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,15,quantile,0.01,8.1
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,18,quantile,0.01,5
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,21,quantile,0.01,3.5
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,27,quantile,0.01,20.2
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,40,quantile,0.01,27
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,42,quantile,0.01,80.7
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,45,quantile,0.01,11.6
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,11,quantile,0.01,2
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,20,quantile,0.01,25.5
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,29,quantile,0.01,1
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,50,quantile,0.01,0
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,51,quantile,0.01,197
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,09,quantile,0.01,122.8
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,19,quantile,0.01,4.4
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,22,quantile,0.01,243.3
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,39,quantile,0.01,16.9
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,26,quantile,0.01,35.2
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,46,quantile,0.01,9.3
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,05,quantile,0.01,0
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,10,quantile,0.01,0
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,28,quantile,0.01,37.6
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,35,quantile,0.01,52.3
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,38,quantile,0.01,4.3
2021-09-23,1 wk ahead inc flu hosp,2021-09-28,56,quantile,0.01,0
