forecast_date,target,target_end_date,location,type,quantile,value
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,53,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,17,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,06,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,04,quantile,0.01,1.3
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,25,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,55,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,48,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,31,quantile,0.01,3.8
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,49,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,41,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,12,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,36,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,44,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,13,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,33,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,37,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,34,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,08,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,24,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,32,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,47,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,15,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,18,quantile,0.01,2.4
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,21,quantile,0.01,0.7
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,27,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,40,quantile,0.01,1.6
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,42,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,45,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,11,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,20,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,29,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,50,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,51,quantile,0.01,3.7
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,09,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,19,quantile,0.01,2.4
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,22,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,39,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,26,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,46,quantile,0.01,0
2022-02-07,1 wk ahead inc flu hosp,2022-02-12,05,quantile,0.01,0
