forecast_date,target,target_end_date,location,type,quantile,value
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,53,quantile,0.01,118
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,17,quantile,0.01,138
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,06,quantile,0.01,800.1
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,04,quantile,0.01,91.9
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,25,quantile,0.01,14.2
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,55,quantile,0.01,36.4
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,48,quantile,0.01,29.8
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,31,quantile,0.01,25
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,49,quantile,0.01,0
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,41,quantile,0.01,59
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,12,quantile,0.01,402.9
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,36,quantile,0.01,276.4
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,44,quantile,0.01,0.3
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,13,quantile,0.01,60.6
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,33,quantile,0.01,0
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,37,quantile,0.01,163.4
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,34,quantile,0.01,329.9
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,08,quantile,0.01,2.6
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,24,quantile,0.01,113.7
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,32,quantile,0.01,13.1
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,47,quantile,0.01,236.4
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,15,quantile,0.01,0
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,18,quantile,0.01,204.8
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,21,quantile,0.01,102.8
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,27,quantile,0.01,134.6
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,40,quantile,0.01,140.3
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,42,quantile,0.01,332.1
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,45,quantile,0.01,119.4
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,11,quantile,0.01,29.2
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,20,quantile,0.01,45
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,29,quantile,0.01,86.6
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,50,quantile,0.01,0
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,51,quantile,0.01,222.9
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,09,quantile,0.01,71.4
2022-11-28,1 wk ahead inc flu hosp,2022-12-03,19,quantile,0.01,5.6
