forecast_date,target,target_end_date,location,type,quantile,value
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,53,quantile,0.01,481.6
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,17,quantile,0.01,3299.3
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,06,quantile,0.01,1293
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,04,quantile,0.01,300.1
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,25,quantile,0.01,1503.5
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,55,quantile,0.01,651.1
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,48,quantile,0.01,1710.9
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,31,quantile,0.01,415.7
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,49,quantile,0.01,829.8
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,41,quantile,0.01,821.2
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,12,quantile,0.01,22.1
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,36,quantile,0.01,965.4
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,44,quantile,0.01,91
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,13,quantile,0.01,2038.4
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,33,quantile,0.01,51.2
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,37,quantile,0.01,2964.5
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,34,quantile,0.01,931.5
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,08,quantile,0.01,771.6
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,24,quantile,0.01,1732.5
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,32,quantile,0.01,229.4
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,47,quantile,0.01,784.9
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,15,quantile,0.01,97.8
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,18,quantile,0.01,124.5
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,21,quantile,0.01,477.7
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,27,quantile,0.01,229.4
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,40,quantile,0.01,423.5
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,42,quantile,0.01,967.2
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,45,quantile,0.01,354.8
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,11,quantile,0.01,130
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,20,quantile,0.01,303.1
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,29,quantile,0.01,55.2
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,50,quantile,0.01,56.7
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,51,quantile,0.01,4023.1
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,09,quantile,0.01,1664.3
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,19,quantile,0.01,159.5
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,22,quantile,0.01,2206.9
2022-01-21,1 wk ahead inc flu hosp,2022-01-26,39,quantile,0.01,234.4
