forecast_date,target,target_end_date,location,type,quantile,value
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,53,quantile,0.01,840.8
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,17,quantile,0.01,2651
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,06,quantile,0.01,1514
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,04,quantile,0.01,367.1
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,25,quantile,0.01,1775.5
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,55,quantile,0.01,994.7
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,48,quantile,0.01,1579.5
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,31,quantile,0.01,355.2
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,49,quantile,0.01,559.8
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,41,quantile,0.01,1397.9
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,12,quantile,0.01,2454.4
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,36,quantile,0.01,3332.1
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,44,quantile,0.01,26.4
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,13,quantile,0.01,3474.3
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,33,quantile,0.01,20
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,37,quantile,0.01,2616
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,34,quantile,0.01,3227.1
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,08,quantile,0.01,650.6
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,24,quantile,0.01,1896.3
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,32,quantile,0.01,188.1
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,47,quantile,0.01,1999.4
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,15,quantile,0.01,100.6
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,18,quantile,0.01,142.3
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,21,quantile,0.01,306.9
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,27,quantile,0.01,196.9
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,40,quantile,0.01,560
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,42,quantile,0.01,3172
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,45,quantile,0.01,807.5
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,11,quantile,0.01,442.9
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,20,quantile,0.01,647.3
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,29,quantile,0.01,89.6
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,50,quantile,0.01,111
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,51,quantile,0.01,2653.1
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,09,quantile,0.01,1589.5
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,19,quantile,0.01,81.2
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,22,quantile,0.01,3857.3
2022-02-18,1 wk ahead inc flu hosp,2022-02-23,39,quantile,0.01,286.6
