forecast_date,target,target_end_date,location,type,quantile,value
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,53,quantile,0.01,466.5
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,17,quantile,0.01,3528.8
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,06,quantile,0.01,2956.9
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,04,quantile,0.01,1517.2
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,25,quantile,0.01,1815.4
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,55,quantile,0.01,514.6
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,48,quantile,0.01,5667
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,31,quantile,0.01,477.4
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,49,quantile,0.01,697
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,41,quantile,0.01,1626.6
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,12,quantile,0.01,0
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,36,quantile,0.01,2112.3
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,44,quantile,0.01,500.8
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,13,quantile,0.01,1043.1
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,33,quantile,0.01,203.2
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,37,quantile,0.01,2409.8
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,34,quantile,0.01,2793.3
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,08,quantile,0.01,1278.2
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,24,quantile,0.01,754.6
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,32,quantile,0.01,549.2
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,47,quantile,0.01,1353.7
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,15,quantile,0.01,139.6
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,18,quantile,0.01,744.4
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,21,quantile,0.01,966.5
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,27,quantile,0.01,730
2021-12-23,1 wk ahead inc flu hosp,2021-12-28,40,quantile,0.01,936.5
